 ,SAN FRANCISCO,NAPA,SAN DIEGO ,Fresno,Sant Cruz,Death Valley,OJAI,Barstow,LA,CedarPark,Redding,Eureka,Oxnard,Bakersfield,PasoRobles,SanJose,Sacramento,MendocinoForest
20120623,189,217,211,283,239,444,289,339,211,339,244,161,217,294,272,211,244,94
20120624,194,233,222,283,239,433,306,344,217,339,250,161,222,278,272,217,256,156
20120625,206,239,222,278,244,444,294,356,217,311,239,161,228,278,272,228,250,106
20120626,206,267,244,294,261,433,311,339,222,322,272,172,239,272,300,244,267,189
20120627,211,272,228,339,272,433,333,350,228,289,322,167,256,322,333,278,322,228
20120628,200,272,228,356,289,456,344,372,211,306,322,172,239,350,344,250,328,222
20120629,200,256,228,333,278,472,333,383,211,367,317,183,228,333,322,233,300,222
20120630,217,283,222,339,256,467,322,383,217,417,317,183,233,328,333,261,317,194
20120701,200,244,222,333,261,450,300,383,217,411,339,178,228,328,306,244,300,250
20120702,194,233,200,356,233,450,306,383,222,400,361,156,222,344,333,244,339,256
20120703,206,261,200,361,244,461,294,372,217,350,361,161,217,350,339,272,339,250
20120704,222,222,194,378,194,461,272,383,211,367,367,161,206,372,250,272,350,256
20120705,183,239,206,356,239,389,278,328,211,356,333,156,211,350,267,228,300,244
20120706,200,256,228,361,239,439,311,367,206,378,350,167,206,350,328,267,350,256
20120707,239,300,222,383,222,461,322,378,194,361,383,167,211,372,356,311,372,283
20120708,178,233,228,383,228,489,361,378,200,367,389,167,200,383,350,233,372,267
20120709,183,233,228,394,244,494,394,406,222,372,372,156,233,367,383,244,372,278
20120710,233,306,244,400,250,506,411,417,228,383,406,156,239,383,422,311,389,289
20120711,250,306,233,417,233,522,378,428,211,333,422,156,217,400,417,311,406,306
20120712,189,256,239,428,222,533,378,439,222,300,411,156,217,400,361,289,406,294
20120713,172,217,272,411,228,489,383,367,244,300,378,150,244,411,350,222,300,283
20120714,206,222,228,361,200,394,344,322,222,306,350,156,233,367,300,272,311,272
20120715,206,239,222,367,200,444,311,356,217,333,389,156,222,361,283,261,356,278
20120716,189,200,206,344,200,444,267,350,217,344,300,172,217,344,228,233,244,222
20120717,211,217,222,294,228,444,267,344,222,328,244,172,222,289,228,244,244,139
20120718,200,239,267,317,228,428,322,344,228,333,306,178,228,294,278,228,300,189
20120719,217,256,239,356,267,444,372,356,300,339,322,167,272,367,339,239,300,222
20120720,217,306,261,367,261,467,367,383,244,333,344,183,239,339,372,278,344,256
20120721,278,344,239,394,261,483,378,389,233,317,394,156,244,372,400,333,383,278
20120722,217,267,233,411,206,494,361,406,211,350,406,178,217,394,333,294,400,294
20120723,233,222,222,389,200,500,328,406,211,350,389,178,206,394,306,311,339,306
20120724,233,239,228,367,200,489,328,389,211,317,367,150,217,367,283,261,339,272
20120725,222,233,228,372,211,483,306,389,211,361,356,139,217,367,294,256,344,272
20120726,211,222,228,356,217,472,300,389,211,350,356,161,211,356,250,239,306,272
20120727,222,222,222,350,228,472,317,378,211,378,356,172,211,344,294,256,311,256
20120728,189,256,222,361,228,461,333,389,211,372,361,172,222,350,350,244,339,244
20120729,211,239,222,361,233,467,350,383,217,356,367,172,222,350,356,256,350,261
20120730,244,311,222,389,233,478,344,389,217,333,389,167,228,361,378,306,372,278
20120731,200,256,228,406,228,489,322,389,222,333,383,167,222,389,367,283,383,278
20120801,211,261,239,411,233,461,350,333,222,278,383,167,228,394,383,283,383,294
20120802,211,267,233,406,222,461,339,344,222,333,389,156,233,394,400,289,383,300
20120803,217,222,217,389,206,478,294,389,228,378,406,150,233,406,300,261,367,317
20120804,183,233,228,372,172,489,317,389,233,350,372,183,233,383,272,222,272,311
20120805,206,256,233,372,239,478,367,367,217,339,367,172,233,361,356,239,322,283
20120806,206,283,250,383,267,489,433,400,239,333,356,178,250,361,400,256,361,272
20120807,206,289,261,389,283,494,406,406,283,328,378,167,267,372,394,256,372,267
20120808,222,306,267,394,294,506,411,417,267,289,394,178,256,372,411,306,378,294
20120809,222,311,261,417,267,517,428,422,261,317,417,161,261,400,433,322,400,300
20120810,189,294,278,428,261,522,433,428,261,322,411,167,294,422,433,294,406,311
20120811,217,306,272,439,239,511,411,428,278,283,428,156,294,428,417,317,411,344
20120812,183,267,294,406,256,500,417,400,267,256,422,156,272,417,417,272,400,333
20120813,211,289,278,433,250,494,411,417,267,317,444,150,261,433,422,294,417,339
20120814,200,250,267,428,228,494,389,411,256,322,417,178,244,422,389,278,367,333
20120815,206,244,256,411,222,489,372,411,222,311,383,161,228,411,356,256,372,283
20120816,211,261,272,389,256,494,400,406,250,311,406,172,256,383,400,272,378,317
20120817,183,272,294,406,272,489,394,406,289,317,400,150,278,367,411,250,361,300
20120818,200,267,300,383,278,478,378,378,289,339,383,156,294,378,389,272,372,278
20120819,183,244,278,389,256,472,372,383,283,300,383,150,267,372,389,233,350,272
20120820,178,228,261,394,239,478,361,394,283,278,372,150,267,378,383,244,367,289
20120821,183,222,239,389,239,483,339,400,267,278,350,172,250,378,356,256,350,267
20120822,200,222,233,378,228,483,322,394,256,289,378,161,244,372,339,233,350,272
20120823,194,228,244,383,211,400,328,344,233,294,356,156,228,378,339,256,344,272
20120824,217,228,228,378,194,422,311,356,244,289,378,172,239,378,300,278,356,294
20120825,194,206,233,367,211,444,306,378,228,294,356,150,228,367,267,244,311,267
20120826,194,239,244,333,250,461,317,378,233,289,294,200,228,339,289,217,272,217
20120827,239,300,267,344,300,450,367,367,261,306,317,189,267,328,372,278,328,217
20120828,244,322,267,367,322,461,394,378,261,317,328,183,272,350,378,289,356,233
20120829,267,333,256,372,283,483,389,394,294,289,356,172,283,339,389,317,356,256
20120830,194,222,267,394,222,483,372,378,272,300,367,156,256,400,344,272,367,267
20120831,167,217,272,344,239,478,339,367,256,283,306,156,244,350,283,206,244,222
