amean_y1,amean_y2,amean_y3,amean_y4,amean_y5,amean_y6,amean_y7,amean_y8,amean_y9,amean_y10,amean_y11,amean_y12,amean_y13,amean_y14,amean_y15,amean_y16,k0,k1,k2,k3,ward91,cquint,region91,lungc3064,cpm3064,allmort3064,lungc65pls,cpm65pls,allmort65pls,pop3064,pop65pls,exp_lungc3064,exp_cpm_3064,exp_all_3064,exp_lungc65pls,exp_cpm_65pls,exp_all_65pls,RR_lungc3064,RR_cpm3064,RR_allmort3064,RR_lungc65pls,RR_cpm65pls,RR_allmort65pls,cscore                                                                                                                                                                    
61,56,56,47,71,41,34,36,33,32,31,26,26,23,17,22,55,46,31,22,03BNGG,5,8,21,56,130,44,365,587,4722,2187,9.794,45.007,98.753,27.161,307.879,498.375,2.144,1.244,1.316,1.62,1.186,1.178,4.366
150,134,128,113,114,73,62,42,24,23,19,13,13,15,10,12,131,73,20,13,03BPFA,5,8,16,94,175,28,308,468,3982,1647,8.259,37.954,83.277,20.454,231.859,375.32,1.937,2.477,2.101,1.369,1.328,1.247,10.309
200,195,160,158,118,79,81,64,58,48,41,30,29,32,23,25,178,86,44,27,03BPFE,5,8,13,68,133,26,418,618,3887,1846,8.062,37.048,81.29,22.926,259.874,420.668,1.613,1.835,1.636,1.134,1.608,1.469,15.315
135,171,183,137,119,96,89,86,36,37,35,29,25,24,15,19,157,98,34,21,03BPFH,4,8,21,50,125,28,216,343,4594,1636,9.528,43.787,96.076,20.318,230.311,372.813,2.204,1.142,1.301,1.378,0.938,0.92,1.7
182,176,136,97,92,57,55,40,28,22,22,16,17,18,12,15,148,61,22,16,03BPFJ,5,8,10,76,141,25,256,424,3709,1496,7.693,35.352,77.568,18.579,210.602,340.91,1.3,2.15,1.818,1.346,1.216,1.244,6.832
182,176,167,151,116,82,73,53,30,25,20,15,17,19,16,16,169,81,23,17,03BPFQ,5,8,10,52,106,12,218,328,3190,1120,6.616,30.405,66.714,13.91,157.67,255.227,1.511,1.71,1.589,0.863,1.383,1.285,6.303
150,141,110,103,73,54,41,36,30,26,25,19,20,22,17,17,126,51,25,19,03BPFR,5,8,13,74,139,22,295,461,4394,1513,9.114,41.881,91.893,18.79,212.995,344.784,1.426,1.767,1.513,1.171,1.385,1.337,11.656
161,172,137,145,120,78,74,39,47,25,19,16,17,17,13,13,154,78,27,15,03BPFU,4,8,11,63,130,26,340,544,5220,1891,10.827,49.754,109.168,23.485,266.209,430.923,1.016,1.266,1.191,1.107,1.277,1.262,1.475
184,154,134,130,120,100,83,86,55,26,72,47,38,23,14,15,151,97,50,23,03BQFM,4,8,16,64,115,30,263,432,4746,1601,9.844,45.236,99.255,19.883,225.384,364.837,1.625,1.415,1.159,1.509,1.167,1.184,2.297
269,229,153,119,109,89,65,50,28,57,49,43,32,26,16,,193,78,44,25,03BRFC,5,8,16,64,140,26,219,381,3853,1605,7.991,36.724,80.579,19.933,225.947,365.749,2.002,1.743,1.737,1.304,0.969,1.042,8.369
79,71,75,58,49,33,36,28,46,39,33,33,22,19,15,21,71,37,38,19,03BRFD,5,8,18,40,88,16,211,347,3592,1431,7.45,34.237,75.121,17.772,201.452,326.098,2.416,1.168,1.171,0.9,1.047,1.064,2.517
179,178,144,112,99,107,92,54,50,50,51,41,40,39,23,20,153,88,48,31,03BRFF,4,8,18,63,145,34,578,907,4927,2416,10.219,46.961,103.04,30.005,340.117,550.56,1.761,1.342,1.407,1.133,1.699,1.647,1.307
